STATION,NAME,DATE,rain,temp
TH000048459,"CHON BURI, TH",2014/4/19,0,31.3
TH000048459,"CHON BURI, TH",2014/4/20,,31.2
TH000048459,"CHON BURI, TH",2014/4/21,,31.6
TH000048459,"CHON BURI, TH",2014/4/22,,31.9
TH000048459,"CHON BURI, TH",2014/4/23,,31.6
TH000048459,"CHON BURI, TH",2014/4/24,,31.8
TH000048459,"CHON BURI, TH",2014/4/25,,31.8
TH000048459,"CHON BURI, TH",2014/4/26,,31.9
TH000048459,"CHON BURI, TH",2014/4/27,,32
TH000048459,"CHON BURI, TH",2014/4/28,,31.3
TH000048459,"CHON BURI, TH",2014/4/29,1.3,30.6
TH000048459,"CHON BURI, TH",2014/4/30,,30.8
TH000048459,"CHON BURI, TH",2014/5/1,,31.9
TH000048459,"CHON BURI, TH",2014/5/2,,30.3
TH000048459,"CHON BURI, TH",2014/5/3,,30.6
TH000048459,"CHON BURI, TH",2014/5/4,,30.7
TH000048459,"CHON BURI, TH",2014/5/5,3.3,30.7
TH000048459,"CHON BURI, TH",2014/5/6,16.5,28.4
TH000048459,"CHON BURI, TH",2014/5/7,,28.9
TH000048459,"CHON BURI, TH",2014/5/8,,31.4
TH000048459,"CHON BURI, TH",2014/5/9,,32.1
TH000048459,"CHON BURI, TH",2014/5/10,2.3,30.2
TH000048459,"CHON BURI, TH",2014/5/11,,31.8
TH000048459,"CHON BURI, TH",2014/5/12,,32.4
TH000048459,"CHON BURI, TH",2014/5/13,4.6,31.5
TH000048459,"CHON BURI, TH",2014/5/14,2,32.3
TH000048459,"CHON BURI, TH",2014/5/15,0,33.1
TH000048459,"CHON BURI, TH",2014/5/16,,32.3
TH000048459,"CHON BURI, TH",2014/5/17,,31.9
TH000048459,"CHON BURI, TH",2014/5/18,22.6,29.4
TH000048459,"CHON BURI, TH",2014/5/19,19.3,30.3
TH000048459,"CHON BURI, TH",2014/5/20,0,31.9
TH000048459,"CHON BURI, TH",2014/5/21,,32
TH000048459,"CHON BURI, TH",2014/5/22,,31.9
TH000048459,"CHON BURI, TH",2014/5/23,,31.4
TH000048459,"CHON BURI, TH",2014/5/24,,32.5
TH000048459,"CHON BURI, TH",2014/5/25,,31.6
TH000048459,"CHON BURI, TH",2014/5/26,,32.1
TH000048459,"CHON BURI, TH",2014/5/27,3.3,30.4
TH000048459,"CHON BURI, TH",2014/5/28,0.5,30.8
TH000048459,"CHON BURI, TH",2014/5/29,2.5,31.3
TH000048459,"CHON BURI, TH",2014/5/30,1,31.8
TH000048459,"CHON BURI, TH",2014/5/31,0,31.4
TH000048459,"CHON BURI, TH",2014/6/1,,30.8
TH000048459,"CHON BURI, TH",2014/6/2,,32.3
TH000048459,"CHON BURI, TH",2014/6/3,,31.1
TH000048459,"CHON BURI, TH",2014/6/4,31,30.1
TH000048459,"CHON BURI, TH",2014/6/5,0.3,29.3
TH000048459,"CHON BURI, TH",2014/6/6,,30.2
TH000048459,"CHON BURI, TH",2014/6/7,0.5,29.4
TH000048459,"CHON BURI, TH",2014/6/8,8.4,30
TH000048459,"CHON BURI, TH",2014/6/9,1.8,30.7
TH000048459,"CHON BURI, TH",2014/6/10,0.5,30.8
TH000048459,"CHON BURI, TH",2014/6/11,1.5,30.7
TH000048459,"CHON BURI, TH",2014/6/12,23.9,29.1
TH000048459,"CHON BURI, TH",2014/6/13,0.3,30.4
TH000048459,"CHON BURI, TH",2014/6/14,0.3,29.6
TH000048459,"CHON BURI, TH",2014/6/15,26.9,29.6
TH000048459,"CHON BURI, TH",2014/6/16,2.8,29.4
TH000048459,"CHON BURI, TH",2014/6/17,7.6,29.1
TH000048459,"CHON BURI, TH",2014/6/18,1,29.9
TH000048459,"CHON BURI, TH",2014/6/19,0,30.7
TH000048459,"CHON BURI, TH",2014/6/20,0.8,30.4
TH000048459,"CHON BURI, TH",2014/6/21,,30.4
TH000048459,"CHON BURI, TH",2014/6/22,4.3,29.1
TH000048459,"CHON BURI, TH",2014/6/23,1.8,29.9
TH000048459,"CHON BURI, TH",2014/6/24,0.5,30.2
TH000048459,"CHON BURI, TH",2014/6/25,15,28.3
TH000048459,"CHON BURI, TH",2014/6/26,4.6,27.6
TH000048459,"CHON BURI, TH",2014/6/27,1,30.2
TH000048459,"CHON BURI, TH",2014/6/28,0,31.3
TH000048459,"CHON BURI, TH",2014/6/29,,30.2
TH000048459,"CHON BURI, TH",2014/6/30,,29
TH000048459,"CHON BURI, TH",2014/7/1,,29.8
TH000048459,"CHON BURI, TH",2014/7/2,,30.2
TH000048459,"CHON BURI, TH",2014/7/3,,30.4
TH000048459,"CHON BURI, TH",2014/7/4,3.3,31.1
TH000048459,"CHON BURI, TH",2014/7/5,0,31.1
TH000048459,"CHON BURI, TH",2014/7/6,,31.3
TH000048459,"CHON BURI, TH",2014/7/7,0.3,31
TH000048459,"CHON BURI, TH",2014/7/8,3.6,28.8
TH000048459,"CHON BURI, TH",2014/7/9,,29.3
TH000048459,"CHON BURI, TH",2014/7/10,,29.8
TH000048459,"CHON BURI, TH",2014/7/11,10.2,30.4
TH000048459,"CHON BURI, TH",2014/7/12,,30.8
TH000048459,"CHON BURI, TH",2014/7/13,16,29.2
TH000048459,"CHON BURI, TH",2014/7/14,26.9,27.7
TH000048459,"CHON BURI, TH",2014/7/15,6.1,28.3
TH000048459,"CHON BURI, TH",2014/7/16,5.6,28.7
TH000048459,"CHON BURI, TH",2014/7/17,0,29.3
TH000048459,"CHON BURI, TH",2014/7/18,10.4,29
TH000048459,"CHON BURI, TH",2014/7/19,10.4,27.5
TH000048459,"CHON BURI, TH",2014/7/20,0,29.3
TH000048459,"CHON BURI, TH",2014/7/21,0.5,29.1
TH000048459,"CHON BURI, TH",2014/7/22,9.4,29.6
TH000048459,"CHON BURI, TH",2014/7/23,7.1,29.5
TH000048459,"CHON BURI, TH",2014/7/24,0,29.6
TH000048459,"CHON BURI, TH",2014/7/25,,29.8
TH000048459,"CHON BURI, TH",2014/7/26,,29.3
TH000048459,"CHON BURI, TH",2014/7/27,,29.7
TH000048459,"CHON BURI, TH",2014/7/28,22.6,27.2
TH000048459,"CHON BURI, TH",2014/7/29,0.5,28.6
TH000048459,"CHON BURI, TH",2014/7/30,1,28.4
TH000048459,"CHON BURI, TH",2014/7/31,0.5,29.7
TH000048459,"CHON BURI, TH",2014/8/1,6.9,28.2
TH000048459,"CHON BURI, TH",2014/8/2,0.5,28.7
TH000048459,"CHON BURI, TH",2014/8/3,0,28.9
TH000048459,"CHON BURI, TH",2014/8/4,0.5,29.3
TH000048459,"CHON BURI, TH",2014/8/5,11.2,27.7
TH000048459,"CHON BURI, TH",2014/8/6,10.9,28.7
TH000048459,"CHON BURI, TH",2014/8/7,5.1,27.9
TH000048459,"CHON BURI, TH",2014/8/8,0,28.4
TH000048459,"CHON BURI, TH",2014/8/9,0,29.3
TH000048459,"CHON BURI, TH",2014/8/10,,29.2
TH000048459,"CHON BURI, TH",2014/8/11,0.3,29.6
TH000048459,"CHON BURI, TH",2014/8/12,0.3,29.4
TH000048459,"CHON BURI, TH",2014/8/13,,29.4
TH000048459,"CHON BURI, TH",2014/8/14,,29.2
TH000048459,"CHON BURI, TH",2014/8/15,3,29.4
TH000048459,"CHON BURI, TH",2014/8/16,0,29.4
TH000048459,"CHON BURI, TH",2014/8/17,2.8,29.9
TH000048459,"CHON BURI, TH",2014/8/18,2,29.6
TH000048459,"CHON BURI, TH",2014/8/19,0,29.1
TH000048459,"CHON BURI, TH",2014/8/20,1.8,28.6
TH000048459,"CHON BURI, TH",2014/8/21,0,28.6
TH000048459,"CHON BURI, TH",2014/8/22,0.8,29.7
TH000048459,"CHON BURI, TH",2014/8/23,0,28.9
TH000048459,"CHON BURI, TH",2014/8/24,0,29.1
TH000048459,"CHON BURI, TH",2014/8/25,1.5,28.9
TH000048459,"CHON BURI, TH",2014/8/26,12.7,28
TH000048459,"CHON BURI, TH",2014/8/27,23.1,28.3
TH000048459,"CHON BURI, TH",2014/8/28,6.4,28
TH000048459,"CHON BURI, TH",2014/8/29,17,28.3
TH000048459,"CHON BURI, TH",2014/8/30,2.3,28.1
TH000048459,"CHON BURI, TH",2014/8/31,0,27.7
TH000048459,"CHON BURI, TH",2014/9/1,1.8,27.8
TH000048459,"CHON BURI, TH",2014/9/2,8.6,27.8
TH000048459,"CHON BURI, TH",2014/9/3,5.1,28
TH000048459,"CHON BURI, TH",2014/9/4,6.6,29.1
TH000048459,"CHON BURI, TH",2014/9/5,20.6,28.2
TH000048459,"CHON BURI, TH",2014/9/6,4.3,27.5
TH000048459,"CHON BURI, TH",2014/9/7,1.5,27.4
TH000048459,"CHON BURI, TH",2014/9/8,1,28.8
TH000048459,"CHON BURI, TH",2014/9/9,0,29.7
TH000048459,"CHON BURI, TH",2014/9/10,,29.6
TH000048459,"CHON BURI, TH",2014/9/11,0.5,28.5
TH000048459,"CHON BURI, TH",2014/9/12,,29
TH000048459,"CHON BURI, TH",2014/9/13,1.3,28.7
TH000048459,"CHON BURI, TH",2014/9/14,38.1,28.3
TH000048459,"CHON BURI, TH",2014/9/15,39.9,28.7
TH000048459,"CHON BURI, TH",2014/9/16,0.5,28.3
TH000048459,"CHON BURI, TH",2014/9/17,5.6,28.9
TH000048459,"CHON BURI, TH",2014/9/18,0.3,28.7
TH000048459,"CHON BURI, TH",2014/9/19,,30.4
TH000048459,"CHON BURI, TH",2014/9/20,,30.5
TH000048459,"CHON BURI, TH",2014/9/21,,30.6
TH000048459,"CHON BURI, TH",2014/9/22,5.1,29.7
TH000048459,"CHON BURI, TH",2014/9/23,0,30.2
TH000048459,"CHON BURI, TH",2014/9/24,5.8,28.2
TH000048459,"CHON BURI, TH",2014/9/25,1.8,29.3
TH000048459,"CHON BURI, TH",2014/9/26,1.8,28.9
TH000048459,"CHON BURI, TH",2014/9/27,6.1,29.7
TH000048459,"CHON BURI, TH",2014/9/28,2.5,29.4
TH000048459,"CHON BURI, TH",2014/9/29,1.8,28.6
TH000048459,"CHON BURI, TH",2014/9/30,80,27.4
TH000048459,"CHON BURI, TH",2014/10/1,32.3,29.2
TH000048459,"CHON BURI, TH",2014/10/2,22.1,27.9
TH000048459,"CHON BURI, TH",2014/10/3,6.1,28.7
TH000048459,"CHON BURI, TH",2014/10/4,0,29.6
TH000048459,"CHON BURI, TH",2014/10/5,0,28.4
TH000048459,"CHON BURI, TH",2014/10/6,1.5,27.7
TH000048459,"CHON BURI, TH",2014/10/7,5.1,27.4
TH000048459,"CHON BURI, TH",2014/10/8,1.3,26.5
TH000048459,"CHON BURI, TH",2014/10/9,10.9,27.7
TH000048459,"CHON BURI, TH",2014/10/10,32.3,29.6
TH000048459,"CHON BURI, TH",2014/10/11,5.8,27.8
TH000048459,"CHON BURI, TH",2014/10/12,1.3,28.8
TH000048459,"CHON BURI, TH",2014/10/13,0,29.4
TH000048459,"CHON BURI, TH",2014/10/14,,28.9
TH000048459,"CHON BURI, TH",2014/10/15,,28.9
TH000048459,"CHON BURI, TH",2014/10/16,,29.3
TH000048459,"CHON BURI, TH",2014/10/17,,29.6
TH000048459,"CHON BURI, TH",2014/10/18,,29.9
TH000048459,"CHON BURI, TH",2014/10/19,1.8,28.3
TH000048459,"CHON BURI, TH",2014/10/20,30.7,28
TH000048459,"CHON BURI, TH",2014/10/21,9.9,28.8
TH000048459,"CHON BURI, TH",2014/10/22,13.2,29.4
TH000048459,"CHON BURI, TH",2014/10/23,25.1,28.3
TH000048459,"CHON BURI, TH",2014/10/24,21.1,28
TH000048459,"CHON BURI, TH",2014/10/25,3.3,28.2
TH000048459,"CHON BURI, TH",2014/10/26,1,28.2
TH000048459,"CHON BURI, TH",2014/10/27,28.7,28
TH000048459,"CHON BURI, TH",2014/10/28,17.5,27.4
TH000048459,"CHON BURI, TH",2014/10/29,5.3,27.4
TH000048459,"CHON BURI, TH",2014/10/30,0.8,29.3
TH000048459,"CHON BURI, TH",2014/10/31,3,28.9
TH000048459,"CHON BURI, TH",2014/11/1,11.2,28.4
TH000048459,"CHON BURI, TH",2014/11/2,2.5,27.9
TH000048459,"CHON BURI, TH",2014/11/3,,28.9
TH000048459,"CHON BURI, TH",2014/11/4,17.8,27.1
TH000048459,"CHON BURI, TH",2014/11/5,8.6,28.5
TH000048459,"CHON BURI, TH",2014/11/6,0.5,29.6
TH000048459,"CHON BURI, TH",2014/11/7,0,28.3
TH000048459,"CHON BURI, TH",2014/11/8,,29.6
TH000048459,"CHON BURI, TH",2014/11/9,,29.8
TH000048459,"CHON BURI, TH",2014/11/10,,29.7
TH000048459,"CHON BURI, TH",2014/11/11,,30.1
TH000048459,"CHON BURI, TH",2014/11/12,,30.2
TH000048459,"CHON BURI, TH",2014/11/13,,30.1
TH000048459,"CHON BURI, TH",2014/11/14,,28.6
TH000048459,"CHON BURI, TH",2014/11/15,,28.9
TH000048459,"CHON BURI, TH",2014/11/16,2,28.9
TH000048459,"CHON BURI, TH",2014/11/17,,28.8
TH000048459,"CHON BURI, TH",2014/11/18,,27.8
TH000048459,"CHON BURI, TH",2014/11/19,,26.4
TH000048459,"CHON BURI, TH",2014/11/20,,27
TH000048459,"CHON BURI, TH",2014/11/21,,28.2
TH000048459,"CHON BURI, TH",2014/11/22,,29.2
TH000048459,"CHON BURI, TH",2014/11/23,,29.4
TH000048459,"CHON BURI, TH",2014/11/24,,29.8
TH000048459,"CHON BURI, TH",2014/11/25,,30.4
TH000048459,"CHON BURI, TH",2014/11/26,0.8,30.4
TH000048459,"CHON BURI, TH",2014/11/27,0.5,28.9
TH000048459,"CHON BURI, TH",2014/11/28,0,29.2
TH000048459,"CHON BURI, TH",2014/11/29,,29.7
TH000048459,"CHON BURI, TH",2014/11/30,,29.9
TH000048459,"CHON BURI, TH",2014/12/1,,30.2
TH000048459,"CHON BURI, TH",2014/12/2,1.5,28.1
TH000048459,"CHON BURI, TH",2014/12/3,,28.6
TH000048459,"CHON BURI, TH",2014/12/4,0.5,28.6
TH000048459,"CHON BURI, TH",2014/12/5,,28
TH000048459,"CHON BURI, TH",2014/12/6,,29.6
TH000048459,"CHON BURI, TH",2014/12/7,,29.7
TH000048459,"CHON BURI, TH",2014/12/8,,28.3
TH000048459,"CHON BURI, TH",2014/12/9,,27.9
TH000048459,"CHON BURI, TH",2014/12/10,,27.8
TH000048459,"CHON BURI, TH",2014/12/11,,27.9
TH000048459,"CHON BURI, TH",2014/12/12,,27.6
TH000048459,"CHON BURI, TH",2014/12/13,,25.8
TH000048459,"CHON BURI, TH",2014/12/14,,26.6
TH000048459,"CHON BURI, TH",2014/12/15,,27.5
TH000048459,"CHON BURI, TH",2014/12/16,,26.4
TH000048459,"CHON BURI, TH",2014/12/17,,24.2
TH000048459,"CHON BURI, TH",2014/12/18,,23.6
TH000048459,"CHON BURI, TH",2014/12/19,,25.5
TH000048459,"CHON BURI, TH",2014/12/20,,25.6
TH000048459,"CHON BURI, TH",2014/12/21,,26.9
TH000048459,"CHON BURI, TH",2014/12/22,,23.7
TH000048459,"CHON BURI, TH",2014/12/23,,24.4
TH000048459,"CHON BURI, TH",2014/12/24,,27.4
TH000048459,"CHON BURI, TH",2014/12/25,,28.2
TH000048459,"CHON BURI, TH",2014/12/26,,29.1
TH000048459,"CHON BURI, TH",2014/12/27,0.5,28.7
TH000048459,"CHON BURI, TH",2014/12/28,0,27.9
TH000048459,"CHON BURI, TH",2014/12/29,,25.2
TH000048459,"CHON BURI, TH",2014/12/30,,24.9
TH000048459,"CHON BURI, TH",2014/12/31,,25
TH000048459,"CHON BURI, TH",2015/1/1,,23.9
TH000048459,"CHON BURI, TH",2015/1/2,,23.3
TH000048459,"CHON BURI, TH",2015/1/3,,25.3
TH000048459,"CHON BURI, TH",2015/1/4,,26.5
TH000048459,"CHON BURI, TH",2015/1/5,,26.9
TH000048459,"CHON BURI, TH",2015/1/6,,28.3
TH000048459,"CHON BURI, TH",2015/1/7,,28.8
TH000048459,"CHON BURI, TH",2015/1/8,,26.7
TH000048459,"CHON BURI, TH",2015/1/9,,27.7
TH000048459,"CHON BURI, TH",2015/1/10,,26.2
TH000048459,"CHON BURI, TH",2015/1/11,,24.3
TH000048459,"CHON BURI, TH",2015/1/12,,23.8
TH000048459,"CHON BURI, TH",2015/1/13,,24
TH000048459,"CHON BURI, TH",2015/1/14,,24.3
TH000048459,"CHON BURI, TH",2015/1/15,,24.2
TH000048459,"CHON BURI, TH",2015/1/16,,25
TH000048459,"CHON BURI, TH",2015/1/17,,23.6
TH000048459,"CHON BURI, TH",2015/1/18,,24.9
TH000048459,"CHON BURI, TH",2015/1/19,,24.4
TH000048459,"CHON BURI, TH",2015/1/20,,25.5
TH000048459,"CHON BURI, TH",2015/1/21,,26.3
TH000048459,"CHON BURI, TH",2015/1/22,,27.1
TH000048459,"CHON BURI, TH",2015/1/23,,26.1
