STATION,NAME,DATE,rain,temp
TH000048455,"BANGKOK METROPOLIS, TH",2014/3/30,,30.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/3/31,,30.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/1,,30.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/2,,31.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/3,,31.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/4,,30.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/5,,28.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/6,,30.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/7,,31.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/8,,31.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/9,,31.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/10,,31.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/11,,30.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/12,,30.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/13,,30.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/14,,30.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/15,0,30.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/16,0,31.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/17,,31.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/18,,32.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/19,,31.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/20,,31.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/21,,32.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/22,,32.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/23,,32.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/24,,32.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/25,,32.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/26,,32
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/27,,32.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/28,,31.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/29,,30.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/4/30,7.6,31.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/1,,32.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/2,,31.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/3,8.9,31
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/4,0.3,30.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/5,1.8,29.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/6,7.9,29.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/7,1.3,29
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/8,0.3,31.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/9,0,32.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/10,20.6,30.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/11,20.3,31.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/12,0,32.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/13,,31.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/14,,32.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/15,,33.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/16,,33
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/17,,32.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/18,0.3,29.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/19,,30.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/20,,31.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/21,,32.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/22,,32.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/23,,31.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/24,,33
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/25,,32.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/26,7.6,31.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/27,1.3,30.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/28,21.8,30.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/29,2,31.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/30,,32.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/5/31,,31.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/1,26.2,30.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/2,8.1,32.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/3,0.5,31.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/4,4.3,30.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/5,2,29.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/6,0,30.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/7,3.8,29.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/8,3.6,30.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/9,0,30.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/10,0,31.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/11,1.5,30.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/12,5.6,29.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/13,0.5,30.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/14,10.7,29.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/15,5.6,29.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/16,22.4,29.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/17,16,29.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/18,2,30
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/19,0,30.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/20,0,30.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/21,33.3,29.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/22,16,28.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/23,1,29.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/24,0,30.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/25,0,28.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/26,3,27.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/27,,30.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/28,,31.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/29,6.6,30
TH000048455,"BANGKOK METROPOLIS, TH",2014/6/30,2.5,29.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/1,,30
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/2,8.6,30.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/3,0.5,30.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/4,2,30.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/5,0,30.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/6,,31.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/7,,30.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/8,10.4,29.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/9,0,29
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/10,0,29.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/11,,30.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/12,,30.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/13,22.6,28.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/14,7.9,28.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/15,0.8,28.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/16,2.3,28.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/17,0.3,29.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/18,13.7,28.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/19,1.5,27.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/20,1.8,29.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/21,1.5,29.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/22,0,29.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/23,0.8,29.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/24,3,29.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/25,,30
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/26,,29.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/27,,29.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/28,3.3,27.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/29,11.2,28.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/30,7.4,28.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/7/31,,29.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/1,34,28.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/2,9.1,28.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/3,9.9,28.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/4,3.6,28.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/5,9.4,27.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/6,4.1,28.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/7,16.3,27.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/8,1.5,28.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/9,,29.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/10,0,29.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/11,0,29.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/12,10.9,29.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/8/13,7.1,29.6
