STATION,NAME,DATE,rain,temp
TH000048400,"NAKHON SAWAN, TH",2014/4/7,,31.2
TH000048400,"NAKHON SAWAN, TH",2014/4/8,,31.4
TH000048400,"NAKHON SAWAN, TH",2014/4/9,,32.1
TH000048400,"NAKHON SAWAN, TH",2014/4/10,,32.6
TH000048400,"NAKHON SAWAN, TH",2014/4/11,,31.5
TH000048400,"NAKHON SAWAN, TH",2014/4/12,,29.6
TH000048400,"NAKHON SAWAN, TH",2014/4/13,,30.6
TH000048400,"NAKHON SAWAN, TH",2014/4/14,85.6,28.4
TH000048400,"NAKHON SAWAN, TH",2014/4/15,1.8,28.6
TH000048400,"NAKHON SAWAN, TH",2014/4/16,0,29.8
TH000048400,"NAKHON SAWAN, TH",2014/4/17,,31.6
TH000048400,"NAKHON SAWAN, TH",2014/4/18,,32.7
TH000048400,"NAKHON SAWAN, TH",2014/4/19,,32.6
TH000048400,"NAKHON SAWAN, TH",2014/4/20,,32.7
TH000048400,"NAKHON SAWAN, TH",2014/4/21,,32.4
TH000048400,"NAKHON SAWAN, TH",2014/4/22,,33.2
TH000048400,"NAKHON SAWAN, TH",2014/4/23,1.5,31.8
TH000048400,"NAKHON SAWAN, TH",2014/4/24,4.3,30.1
TH000048400,"NAKHON SAWAN, TH",2014/4/25,,31.5
TH000048400,"NAKHON SAWAN, TH",2014/4/26,,33.3
TH000048400,"NAKHON SAWAN, TH",2014/4/27,,33.1
TH000048400,"NAKHON SAWAN, TH",2014/4/28,8.6,31.5
TH000048400,"NAKHON SAWAN, TH",2014/4/29,3.3,29.4
TH000048400,"NAKHON SAWAN, TH",2014/4/30,40.6,29.4
TH000048400,"NAKHON SAWAN, TH",2014/5/1,24.4,29.9
TH000048400,"NAKHON SAWAN, TH",2014/5/2,,30.2
TH000048400,"NAKHON SAWAN, TH",2014/5/3,0,28.3
TH000048400,"NAKHON SAWAN, TH",2014/5/4,,30.9
TH000048400,"NAKHON SAWAN, TH",2014/5/5,,31.8
TH000048400,"NAKHON SAWAN, TH",2014/5/6,10.9,29.3
TH000048400,"NAKHON SAWAN, TH",2014/5/7,0.8,29.3
TH000048400,"NAKHON SAWAN, TH",2014/5/8,0,31.3
TH000048400,"NAKHON SAWAN, TH",2014/5/9,1,31.1
TH000048400,"NAKHON SAWAN, TH",2014/5/10,4.3,31.1
TH000048400,"NAKHON SAWAN, TH",2014/5/11,,30.4
TH000048400,"NAKHON SAWAN, TH",2014/5/12,,32
TH000048400,"NAKHON SAWAN, TH",2014/5/13,9.9,30.3
TH000048400,"NAKHON SAWAN, TH",2014/5/14,4.1,31.2
TH000048400,"NAKHON SAWAN, TH",2014/5/15,0,31.6
TH000048400,"NAKHON SAWAN, TH",2014/5/16,,32.4
TH000048400,"NAKHON SAWAN, TH",2014/5/17,,32.7
TH000048400,"NAKHON SAWAN, TH",2014/5/18,28.4,29.2
TH000048400,"NAKHON SAWAN, TH",2014/5/19,20.8,29.1
TH000048400,"NAKHON SAWAN, TH",2014/5/20,0,30.6
TH000048400,"NAKHON SAWAN, TH",2014/5/21,,31.2
TH000048400,"NAKHON SAWAN, TH",2014/5/22,,30.8
TH000048400,"NAKHON SAWAN, TH",2014/5/23,,31.1
TH000048400,"NAKHON SAWAN, TH",2014/5/24,,32.2
TH000048400,"NAKHON SAWAN, TH",2014/5/25,,32.9
TH000048400,"NAKHON SAWAN, TH",2014/5/26,,30.7
TH000048400,"NAKHON SAWAN, TH",2014/5/27,8.6,30.4
TH000048400,"NAKHON SAWAN, TH",2014/5/28,0.3,29.7
TH000048400,"NAKHON SAWAN, TH",2014/5/29,0,29.8
TH000048400,"NAKHON SAWAN, TH",2014/5/30,,30.8
TH000048400,"NAKHON SAWAN, TH",2014/5/31,2.3,30.9
TH000048400,"NAKHON SAWAN, TH",2014/6/1,19.3,29.3
TH000048400,"NAKHON SAWAN, TH",2014/6/2,,30.3
TH000048400,"NAKHON SAWAN, TH",2014/6/3,1.5,31.3
TH000048400,"NAKHON SAWAN, TH",2014/6/4,,31.7
TH000048400,"NAKHON SAWAN, TH",2014/6/5,17,30.6
TH000048400,"NAKHON SAWAN, TH",2014/6/6,,30.5
TH000048400,"NAKHON SAWAN, TH",2014/6/7,,30
TH000048400,"NAKHON SAWAN, TH",2014/6/8,6.6,29.5
TH000048400,"NAKHON SAWAN, TH",2014/6/9,5.6,30.2
TH000048400,"NAKHON SAWAN, TH",2014/6/10,,31.2
TH000048400,"NAKHON SAWAN, TH",2014/6/11,54.9,29.4
TH000048400,"NAKHON SAWAN, TH",2014/6/12,0.5,29.8
TH000048400,"NAKHON SAWAN, TH",2014/6/13,,30.1
TH000048400,"NAKHON SAWAN, TH",2014/6/14,5.3,28.9
TH000048400,"NAKHON SAWAN, TH",2014/6/15,0,29.4
TH000048400,"NAKHON SAWAN, TH",2014/6/16,1,29.5
TH000048400,"NAKHON SAWAN, TH",2014/6/17,0.5,29.8
TH000048400,"NAKHON SAWAN, TH",2014/6/18,0,30.4
TH000048400,"NAKHON SAWAN, TH",2014/6/19,,30.3
TH000048400,"NAKHON SAWAN, TH",2014/6/20,10.4,29.4
TH000048400,"NAKHON SAWAN, TH",2014/6/21,0.5,30.3
TH000048400,"NAKHON SAWAN, TH",2014/6/22,,30.6
TH000048400,"NAKHON SAWAN, TH",2014/6/23,,30.3
TH000048400,"NAKHON SAWAN, TH",2014/6/24,0,29.7
TH000048400,"NAKHON SAWAN, TH",2014/6/25,8.6,28.4
TH000048400,"NAKHON SAWAN, TH",2014/6/26,0,27.9
TH000048400,"NAKHON SAWAN, TH",2014/6/27,0,30.7
TH000048400,"NAKHON SAWAN, TH",2014/6/28,0.5,30.2
TH000048400,"NAKHON SAWAN, TH",2014/6/29,28.4,29
TH000048400,"NAKHON SAWAN, TH",2014/6/30,,28.7
TH000048400,"NAKHON SAWAN, TH",2014/7/1,0.5,28.6
TH000048400,"NAKHON SAWAN, TH",2014/7/2,0,30.9
TH000048400,"NAKHON SAWAN, TH",2014/7/3,,30.8
TH000048400,"NAKHON SAWAN, TH",2014/7/4,3.6,29.6
TH000048400,"NAKHON SAWAN, TH",2014/7/5,1.3,30.8
TH000048400,"NAKHON SAWAN, TH",2014/7/6,0,31.1
TH000048400,"NAKHON SAWAN, TH",2014/7/7,,30.7
TH000048400,"NAKHON SAWAN, TH",2014/7/8,1.5,30.1
TH000048400,"NAKHON SAWAN, TH",2014/7/9,0,29.9
TH000048400,"NAKHON SAWAN, TH",2014/7/10,5.6,28.7
TH000048400,"NAKHON SAWAN, TH",2014/7/11,,30.8
TH000048400,"NAKHON SAWAN, TH",2014/7/12,,30.9
TH000048400,"NAKHON SAWAN, TH",2014/7/13,10.4,28.7
TH000048400,"NAKHON SAWAN, TH",2014/7/14,2.5,28.1
TH000048400,"NAKHON SAWAN, TH",2014/7/15,12.7,28.1
TH000048400,"NAKHON SAWAN, TH",2014/7/16,1.8,27.8
TH000048400,"NAKHON SAWAN, TH",2014/7/17,11.2,28.6
TH000048400,"NAKHON SAWAN, TH",2014/7/18,0.3,29.4
TH000048400,"NAKHON SAWAN, TH",2014/7/19,1.8,27.8
TH000048400,"NAKHON SAWAN, TH",2014/7/20,3.3,27.9
TH000048400,"NAKHON SAWAN, TH",2014/7/21,0.5,28.8
TH000048400,"NAKHON SAWAN, TH",2014/7/22,2.8,29.1
TH000048400,"NAKHON SAWAN, TH",2014/7/23,,29.7
TH000048400,"NAKHON SAWAN, TH",2014/7/24,0.8,29.5
TH000048400,"NAKHON SAWAN, TH",2014/7/25,,29.2
TH000048400,"NAKHON SAWAN, TH",2014/7/26,,29.3
TH000048400,"NAKHON SAWAN, TH",2014/7/27,,27.9
TH000048400,"NAKHON SAWAN, TH",2014/7/28,0.3,28.1
TH000048400,"NAKHON SAWAN, TH",2014/7/29,8.9,29.9
