STATION,NAME,DATE,rain,temp
TH000048327,"CHIANG MAI, TH",2014/4/13,,28.9
TH000048327,"CHIANG MAI, TH",2014/4/14,,29.7
TH000048327,"CHIANG MAI, TH",2014/4/15,,29
TH000048327,"CHIANG MAI, TH",2014/4/16,,28.9
TH000048327,"CHIANG MAI, TH",2014/4/17,,29.4
TH000048327,"CHIANG MAI, TH",2014/4/18,,31.4
TH000048327,"CHIANG MAI, TH",2014/4/19,,30.7
TH000048327,"CHIANG MAI, TH",2014/4/20,,30.4
TH000048327,"CHIANG MAI, TH",2014/4/21,,30.6
TH000048327,"CHIANG MAI, TH",2014/4/22,,30.7
TH000048327,"CHIANG MAI, TH",2014/4/23,,30.5
TH000048327,"CHIANG MAI, TH",2014/4/24,,32.2
TH000048327,"CHIANG MAI, TH",2014/4/25,,31.2
TH000048327,"CHIANG MAI, TH",2014/4/26,,29.9
TH000048327,"CHIANG MAI, TH",2014/4/27,,29.4
TH000048327,"CHIANG MAI, TH",2014/4/28,0,30.7
TH000048327,"CHIANG MAI, TH",2014/4/29,9.1,29
TH000048327,"CHIANG MAI, TH",2014/4/30,5.8,25.8
TH000048327,"CHIANG MAI, TH",2014/5/1,0,26.9
TH000048327,"CHIANG MAI, TH",2014/5/2,0,28.9
TH000048327,"CHIANG MAI, TH",2014/5/3,72.1,27.8
TH000048327,"CHIANG MAI, TH",2014/5/4,0.8,28.4
TH000048327,"CHIANG MAI, TH",2014/5/5,23.6,28.1
TH000048327,"CHIANG MAI, TH",2014/5/6,0,27.4
TH000048327,"CHIANG MAI, TH",2014/5/7,4.8,26.2
TH000048327,"CHIANG MAI, TH",2014/5/8,3.8,29.7
TH000048327,"CHIANG MAI, TH",2014/5/9,0,29.4
TH000048327,"CHIANG MAI, TH",2014/5/10,25.4,27.9
TH000048327,"CHIANG MAI, TH",2014/5/11,,30.1
TH000048327,"CHIANG MAI, TH",2014/5/12,6.6,29.8
TH000048327,"CHIANG MAI, TH",2014/5/13,1.5,28.9
TH000048327,"CHIANG MAI, TH",2014/5/14,,29.9
TH000048327,"CHIANG MAI, TH",2014/5/15,,28.1
TH000048327,"CHIANG MAI, TH",2014/5/16,,29.8
