date, pm10, o3, no2
2021/9/15,26,9, 
2021/9/16,26,11, 
2021/9/17,41,26, 
2021/9/18,26,12, 
2021/9/19,30,11, 
2021/9/20,14,10, 
2021/9/21,20,9, 
2021/9/22,21,10, 
2021/9/23,14,11, 
2021/9/24,9,6, 
2021/9/25,58,10, 
2021/9/26,25,12, 
2021/9/27,20,9, 
2021/9/28,27,12, 
2021/9/29,37,14, 
2021/9/30,37,19, 
2021/4/1,49,19, 
2021/4/2,45,25, 
2021/4/3,156,21, 
2021/4/4,31,14, 
2021/4/5,178,16, 
2021/4/6,23,15, 
2021/4/7,73,18, 
2021/4/8,122,23, 
2021/4/9,46,17, 
2021/4/10,44,47, 
2021/4/11,50,61, 
2021/4/12,44,58, 
2021/4/13,37,21, 
2021/4/14,28,25, 
2021/4/15,39,19, 
2021/4/16,33,25, 
2021/4/17,34,20, 
2021/4/18,23,16, 
2021/4/19,32,20, 
2021/4/20,41,24, 
2021/4/21,41,26, 
2021/4/22,49,25, 
2021/4/23,48,26, 
2021/4/24,50,26, 
2021/4/25,39,25, 
2021/4/26,25,16, 
2021/4/27,26,19, 
2021/4/28,19,17, 
2021/4/29,21,17, 
2021/4/30,25,17, 
2021/5/1,34,18, 
2021/5/2,34,22, 
2021/5/3,38,23, 
2021/5/4,38,25, 
2021/5/5,36,21, 
2021/5/6,30,24, 
2021/5/7,35,20, 
2021/5/8,21,19, 
2021/5/9,34,18, 
2021/5/10,25,17, 
2021/5/11,29,18, 
2021/5/12,32,17, 
2021/5/13,36,18, 
2021/5/14,106,23, 
2021/5/15,106,19, 
2021/5/16,117,17, 
2021/5/17,32,20, 
2021/5/18,36,21, 
2021/5/19,33,22, 
2021/5/20,24,9, 
2021/5/21,21,17, 
2021/5/22,19,16, 
2021/5/23,23,16, 
2021/5/24,26,18, 
2021/5/25,31,14, 
2021/5/26,27,20, 
2021/5/27,29,16, 
2021/5/28,28,15, 
2021/5/29,20,14, 
2021/5/30,20,13, 
2021/5/31,25,15, 
2021/6/1,25,14, 
2021/6/2,26,17, 
2021/6/3,35,16, 
2021/6/4,32,11, 
2021/6/5,23,10, 
2021/6/6,23,13, 
2021/6/7,19,12, 
2021/6/8,21,13, 
2021/6/9,18,12, 
2021/6/10,20,11, 
2021/6/11,30,11, 
2021/6/12,28,8, 
2021/6/13,26,10, 
2021/6/14,20,9, 
2021/6/15,23,12, 
2021/6/16,21,11, 
2021/6/17,23,18, 
2021/6/18,26,14, 
2021/6/19,29,15, 
2021/6/20,51,12, 
2021/6/21,34,16, 
2021/6/22,30,12, 
2021/6/23,22,15, 
2021/6/24,29,14, 
2021/6/25,26,17, 
2021/6/26,25,13, 
2021/6/27,23,9, 
2021/6/28,29,10, 
2021/6/29,28,8, 
2021/6/30,20,10, 
2021/1/4,63,17, 
2021/1/5,64,19, 
2021/1/6,58,19, 
2021/1/7,51,15, 
2021/1/8,48,19, 
2021/1/9,57,20, 
2021/1/10,53,18, 
2021/1/11,61,15, 
2021/1/12,92,16, 
2021/1/13,69,19, 
2021/1/14,77,26, 
2021/1/15,90,26, 
2021/1/16,77,18, 
2021/1/17,58,20, 
2021/1/18,59,22, 
2021/1/19,71,23, 
2021/1/20,80,34, 
2021/1/21,86,29, 
2021/1/22,82,32, 
2021/1/23,73,22, 
2021/1/24,73,19, 
2021/1/25,82,28, 
2021/1/26,76,24, 
2021/1/27,81,30, 
2021/1/28,65,19, 
2021/1/29,66,27, 
2021/1/30,66,24, 
2021/1/31,77,26, 
2021/2/1,76,21, 
2021/2/2,72,16, 
2021/2/3,69,15, 
2021/2/4,103,18, 
2021/2/5,66,21, 
2021/2/6,71,29, 
2021/2/7,76,24, 
2021/2/8,47,13, 
2021/2/9,37,21, 
2021/2/10,47,24, 
2021/2/11,50,25, 
2021/2/12,47,29, 
2021/2/13,47,27, 
2021/2/14,52,23, 
2021/2/15,61,23, 
2021/2/16,61,22, 
2021/2/17,62,20, 
2021/2/18,52,22, 
2021/2/19,53,22, 
2021/2/20,66,31, 
2021/2/21,77,34, 
2021/2/22,73,28, 
2021/2/23,75,24, 
2021/2/24,67,20, 
2021/2/25,75,19, 
2021/2/26,76,19, 
2021/2/27,81,16, 
2021/2/28,68,12, 
2021/3/1,58,9, 
2021/3/2,48,12, 
2021/3/3,78,10, 
2021/3/4,46,10, 
2021/3/5,53,25, 
2021/3/6,56,21, 
2021/3/7,53,23, 
2021/3/8,54,22, 
2021/3/9,62,26, 
2021/3/10,62,28, 
2021/3/11,70,27, 
2021/3/12,71,25, 
2021/3/13,65,25, 
2021/3/14,63,24, 
2021/3/15,59,21, 
2021/3/16,98,22, 
2021/3/17,101,21, 
2021/3/18,136,22, 
2021/3/19,68,26, 
2021/3/20,131,27, 
2021/3/21,47,18, 
2021/3/22,81,23, 
2021/3/23,62,29, 
2021/3/24,84,37, 
2021/3/25,64,28, 
2021/3/26,129,27, 
2021/3/27,57,24, 
2021/3/28,88,24, 
2021/3/29,70,23, 
2021/3/30,91,22, 
2021/3/31,185,23, 
2020/10/1,27,12, 
2020/10/2,19,9, 
2020/10/3,30,11, 
2020/10/4,22,9, 
2020/10/5,33,9, 
2020/10/6,32,11, 
2020/10/7,22,6, 
2020/10/8,27,7, 
2020/10/9,24,8, 
2020/10/10,38,9, 
2020/10/11,39,11, 
2020/10/12,35,8, 
2020/10/13,35,12, 
2020/10/14,33,10, 
2020/10/15,21,7, 
2020/10/16,16,3, 
2020/10/17,13,2, 
2020/10/18,17,5, 
2020/10/19,28,9, 
2020/10/20,20,10, 
2020/10/21,40,11, 
2020/10/22,45,15, 
2020/10/23,52,16, 
2020/10/24,55,19, 
2020/10/25,58,11, 
2020/10/26,35,8, 
2020/10/27,30,13, 
2020/10/28,23,4, 
2020/10/29,29,6, 
2020/10/30,35,7, 
2020/10/31,29,10, 
2020/11/1,46,11, 
2020/11/2,43,12, 
2020/11/3,41,13, 
2020/11/4,38,14, 
2020/11/5,46,16, 
2020/11/6,42,10, 
2020/11/7,38,12, 
2020/11/8,46,12, 
2020/11/9,48,16, 
2020/11/10,45,12, 
2020/11/11,43,12, 
2020/11/12,47,17, 
2020/11/13,57,19, 
2020/11/14,53,16, 
2020/11/15,42,14, 
2020/11/16,43,15, 
2020/11/17,49,13, 
2020/11/18,55,18, 
2020/11/19,56,18, 
2020/11/20,56,17, 
2020/11/21,61,14, 
2020/11/22,49,8, 
2020/11/23,37,8, 
2020/11/24,42,9, 
2020/11/25,44,10, 
