DATE,STATION,NAME,rain,temp,pm10,o3,no2,td
3/4/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28.6,50,39,21,8.8
3/5/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28.7,49,36,18,8.8
3/6/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28.9,51,34,18,8.8
3/7/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28.8,46,34,18,7.6
3/8/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,29,44,28,16,8.1
3/9/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,29,46,30,19,7.9
3/10/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28.8,46,34,21,7
3/11/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,29.4,41,30,17,8.2
3/12/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,29.3,42,26,20,7.9
3/13/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,29.8,48,31,23,8.3
3/14/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.1,50,32,22,9.2
3/15/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.1,43,4,22,8.6
3/16/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.8,43,48,14,9.1
3/17/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.3,53,26,14,8.6
3/18/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.6,41,17,19,8.6
3/19/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.1,34,32,23,6.6
3/20/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.1,45,42,23,7.6
3/21/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.6,52,12,23,7.5
3/22/2014,TH000048455,"BANGKOK METROPOLIS, TH",34.3,27.3,55,55,28,8.45270936
3/23/2014,TH000048455,"BANGKOK METROPOLIS, TH",4.3,29.7,54,51,28,10.1
3/24/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,29.9,58,41,23,8.9
3/25/2014,TH000048455,"BANGKOK METROPOLIS, TH",1,30.2,51,35,23,8.2
3/26/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.4,42,25,27,7.8
3/27/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.4,42,21,29,8.1
3/28/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.1,46,24,26,6.7
3/29/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.2,46,14,16,7
3/30/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.5,33,9,18,7.4
3/31/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.8,21,16,17,8.3
4/1/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.4,30,23,15,8.2
4/2/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.1,38,23,12,8.45270936
4/3/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.2,39,25,14,8
4/4/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.5,36,43,21,8.45270936
4/5/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28.9,47,34,18,8.45270936
4/6/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.2,48,35,12,10.1
4/7/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.3,34,66,20,8.9
4/8/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.8,46,65,25,10
4/9/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.8,62,44,24,9.5
4/10/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.6,67,29,25,8.7
4/11/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.7,66,46,25,7.3
4/12/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.8,65,47,23,8.45270936
4/13/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.4,61,43,19,9.6
4/14/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.5,57,58,21,8.45270936
4/15/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,30.7,42,32,16,10.1
4/16/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,31.1,41,31,18,8.4
4/17/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.8,36,25,16,10.1
4/18/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,32.1,37,20,18,8.7
4/19/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.9,34,24,15,8.45270936
4/20/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.9,27,23,16,8.6
4/21/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,32.4,28,26,15,9.1
4/22/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,32.4,27,28,17,8.8
4/23/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,32.2,33,18,17,8.5
4/24/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,32.2,38,22,18,8.45270936
4/25/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,32.4,34,17,19,9.8
4/26/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,32,34,22,13,9
4/27/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,32.5,30,18,23,9.7
4/28/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.6,28,17,22,8.5
4/29/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.6,33,22,20,5.6
4/30/2014,TH000048455,"BANGKOK METROPOLIS, TH",7.6,31.2,31,19,12,8.3
5/1/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,32.1,32,29,21,8.1
5/2/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.4,35,21,15,9.1
5/3/2014,TH000048455,"BANGKOK METROPOLIS, TH",8.9,31,37,31,21,10.6
5/4/2014,TH000048455,"BANGKOK METROPOLIS, TH",0.3,30.3,26,22,19,7.4
5/5/2014,TH000048455,"BANGKOK METROPOLIS, TH",1.8,29.9,21,32,24,8.45270936
5/6/2014,TH000048455,"BANGKOK METROPOLIS, TH",7.9,29.2,34,27,27,8.45270936
5/7/2014,TH000048455,"BANGKOK METROPOLIS, TH",1.3,29,33,23,23,9.8
5/8/2014,TH000048455,"BANGKOK METROPOLIS, TH",0.3,31.9,41,19,10,11.7
5/9/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,32.4,32,33,12,8.4
5/10/2014,TH000048455,"BANGKOK METROPOLIS, TH",20.6,30.9,34,27,15,8.45270936
5/11/2014,TH000048455,"BANGKOK METROPOLIS, TH",20.3,31.4,33,34,13,13
5/12/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,32.6,22,24,13,9.6
5/13/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.6,20,32,18,8.45270936
5/14/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,32.6,22,35,16,10.5
5/15/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,33.2,20,33,17,9.9
5/16/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,33,20,28,15,10.1
5/17/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,32.7,27,13,19,8.2
5/18/2014,TH000048455,"BANGKOK METROPOLIS, TH",0.3,29.7,26,32,19,8.45270936
5/19/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.4,24,38,17,7.3
5/20/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.9,26,36,16,9.5
5/21/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,32.4,23,18,15,10.8
5/22/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,32.1,25,16,14,9.2
5/23/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.5,25,36,19,9.4
5/24/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,33,24,24,22,10
5/25/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,32.3,28,34,27,9.5
5/26/2014,TH000048455,"BANGKOK METROPOLIS, TH",7.6,31.5,35,15,19,7.8
5/27/2014,TH000048455,"BANGKOK METROPOLIS, TH",1.3,30.7,39,25,22,8.45270936
5/28/2014,TH000048455,"BANGKOK METROPOLIS, TH",21.8,30.6,27,35,20,11.5
5/29/2014,TH000048455,"BANGKOK METROPOLIS, TH",2,31.7,27,43,18,9.4
5/30/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,32.5,27,40,16,9.9
5/31/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,31.8,23,18,16,8.45270936
6/1/2014,TH000048455,"BANGKOK METROPOLIS, TH",26.2,30.5,25,34,18,11.4
6/2/2014,TH000048455,"BANGKOK METROPOLIS, TH",8.1,32.1,19,37,15,10.4
6/3/2014,TH000048455,"BANGKOK METROPOLIS, TH",0.5,31.5,21,24,17,8.45270936
6/4/2014,TH000048455,"BANGKOK METROPOLIS, TH",4.3,30.8,22,10,17,10.5
6/5/2014,TH000048455,"BANGKOK METROPOLIS, TH",2,29.4,25,15,18,8.3
6/6/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,30.8,24,15,15,8.3
6/7/2014,TH000048455,"BANGKOK METROPOLIS, TH",3.8,29.6,22,10,14,8.45270936
6/8/2014,TH000048455,"BANGKOK METROPOLIS, TH",3.6,30.4,25,12,14,8.9
6/9/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,30.9,23,12,15,8.45270936
6/10/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,31.1,27,9,13,6.9
6/11/2014,TH000048455,"BANGKOK METROPOLIS, TH",1.5,30.6,27,15,15,8.45270936
6/12/2014,TH000048455,"BANGKOK METROPOLIS, TH",5.6,29.3,24,16,16,8.4
6/13/2014,TH000048455,"BANGKOK METROPOLIS, TH",0.5,30.2,23,14,13,7.8
6/14/2014,TH000048455,"BANGKOK METROPOLIS, TH",10.7,29.9,19,13,11,8.45270936
6/15/2014,TH000048455,"BANGKOK METROPOLIS, TH",5.6,29.9,21,15,12,8.45270936
