date,pm10,o3,no2,rain,temp
6/13/2014,19,8,12,0,29.7
6/14/2014,15,18,9,18.8,27.6
6/15/2014,18,16,8,0,29.4
6/16/2014,17,16,8,0,30.1
6/17/2014,18,17,10,0,30.3
6/18/2014,19,13,12,2.4,28.9
6/19/2014,18,17,8,3.2,29
6/20/2014,19,22,9,0,30.4
6/21/2014,26,28,10,0,30.6
6/22/2014,28,22,12,0,29.8
6/23/2014,31,20,14,0,29.7
6/24/2014,23,27,8,1,29.3
6/25/2014,15,17,7,0,28.6
6/26/2014,19,14,9,0,29.4
6/27/2014,21,22,12,0,28
6/28/2014,21,23,10,0,28.8
6/29/2014,21,11,11,0,29.2
6/30/2014,18,15,10,2.4,27.6
7/1/2014,22,14,12,0,28.2
7/2/2014,25,14,10,0,28.7
7/3/2014,25,9,11,0.2,28.6
7/4/2014,26,8,11,19.4,28.1
7/5/2014,21,11,10,0.8,27.9
7/6/2014,17,12,10,2.2,28.7
7/7/2014,18,18,10,3.6,28.5
7/8/2014,19,9,10,12.6,28
7/9/2014,16,14,9,12.6,27.3
7/10/2014,20,9,9,0.2,28.7
7/11/2014,21,12,11,26.8,28
7/12/2014,19,19,7,0,27.7
7/13/2014,17,18,7,0,29
7/14/2014,26,15,6,0,29.8
7/15/2014,26,20,7,0,29.6
7/16/2014,27,10,11,0,29.4
7/17/2014,23,16,9,7.8,28.1
7/18/2014,22,14,7,0,29.1
7/19/2014,19,18,8,0.6,28.8
7/20/2014,17,14,7,0,29.3
7/21/2014,19,15,5,0,29.5
7/22/2014,22,17,7,0,29.6
7/23/2014,26,19,6,0,29.8
7/24/2014,30,20,7,0,29.6
7/25/2014,30,18,5,0,29.7
7/26/2014,25,18,7,0,29.9
7/27/2014,21,18,7,27.8,28.2
7/28/2014,20,10,9,0,29
7/29/2014,22,6,14,29,27.6
7/30/2014,20,6,10,4,27.8
7/31/2014,13,10,9,1,27.6
8/1/2014,18,12,9,0,28.7
8/2/2014,23,19,8,11.8,28.6
8/3/2014,22,15,10,0,28.6
8/4/2014,21,10,8,1.2,28.5
8/5/2014,16,8,11,7.4,26.5
8/6/2014,15,9,10,0.4,27.7
8/7/2014,15,6,11,9.2,27.5
8/8/2014,16,18,5,2,27.6
8/9/2014,10,15,6,0,28.6
8/10/2014,10,9,8,0,28.2
8/11/2014,15,8,10,0,28.1
8/12/2014,18,5,14,1.4,26.7
8/13/2014,19,6,12,2.4,26.2
8/14/2014,17,6,15,41.2,26.8
8/15/2014,28,17,15,0.6,26.6
8/16/2014,28,9,12,0,28.1
8/17/2014,21,21,7,0,28.4
8/18/2014,24,21,9,10.4,28.4
8/19/2014,24,20,13,0,28.2
8/20/2014,26,20,13,12,27.5
8/21/2014,26,19,11,1.6,28
8/22/2014,17,14,9,0,28.7
8/23/2014,21,9,13,0.8,28.7
8/24/2014,24,8,14,0,27.4
8/25/2014,30,12,16,7.2,26.6
8/26/2014,24,13,17,44.2,26.8
8/27/2014,20,6,15,8.4,26.9
8/28/2014,19,17,11,38.8,26.6
8/29/2014,23,18,11,39.4,26.8
8/30/2014,21,16,8,0,27.4
8/31/2014,24,28,8,0.6,28
9/1/2014,29,27,9,0,29.1
9/2/2014,34,16,12,0,28.7
9/3/2014,35,29,14,9.2,26.9
9/4/2014,35,26,12,0,28
9/5/2014,24,16,7,0,28.3
9/6/2014,17,27,9,0,27.7
9/7/2014,28,27,11,0.8,27.9
9/8/2014,32,23,12,0,28.9
9/9/2014,32,26,18,1,28.2
9/10/2014,33,24,18,3.2,28.7
9/11/2014,38,24,23,1.4,27.4
9/12/2014,37,22,19,0,28.4
9/13/2014,36,28,16,0,28.9
9/14/2014,41,21,21,0,29
9/15/2014,40,31,15,0,29.2
9/16/2014,33,32,14,0,29.2
9/17/2014,52,36,16,0,28.9
9/18/2014,58,28,18,0,29.2
9/19/2014,38,17,17,0,29.5
9/20/2014,23,30,16,31.6,28.1
9/21/2014,50,30,17,3.6,27.7
9/22/2014,34,31,14,0,29
9/23/2014,37,27,14,0,29.2
9/24/2014,27,20,18,9.4,28.7
9/25/2014,27,42,22,23.4,26.4
9/26/2014,33,33,18,0,28.3
9/27/2014,35,43,11,0,28.7
9/28/2014,38,38,14,0,28.9
9/29/2014,39,37,15,0,28.9
