DATE,STATION,NAME,rain,temp,pm10,o3,no2
3/12/2014,TH000048459,"CHON BURI, TH",8.320996441,29.1,29.97211155,19.47660691,16
3/13/2014,TH000048459,"CHON BURI, TH",8.320996441,29.5,15,24,13
3/14/2014,TH000048459,"CHON BURI, TH",8.320996441,29.6,29.97211155,20,21
3/15/2014,TH000048459,"CHON BURI, TH",8.320996441,29.6,29.97211155,20,11
3/16/2014,TH000048459,"CHON BURI, TH",8.320996441,30.3,29.97211155,19.47660691,8.663632423
3/17/2014,TH000048459,"CHON BURI, TH",8.320996441,30.2,29.97211155,12,20
3/18/2014,TH000048459,"CHON BURI, TH",8.320996441,30.4,29.97211155,13,12
3/19/2014,TH000048459,"CHON BURI, TH",8.320996441,30.1,29.97211155,16,11
3/20/2014,TH000048459,"CHON BURI, TH",8.320996441,30.1,8,22,11
3/21/2014,TH000048459,"CHON BURI, TH",8.320996441,30.4,10,13,27
3/22/2014,TH000048459,"CHON BURI, TH",99.6,27.1,29.97211155,19.47660691,8.663632423
3/23/2014,TH000048459,"CHON BURI, TH",9.7,29.4,29.97211155,19.47660691,12
3/24/2014,TH000048459,"CHON BURI, TH",0,29.9,10,19.47660691,26
3/25/2014,TH000048459,"CHON BURI, TH",8.320996441,29.4,29.97211155,19.47660691,14
3/26/2014,TH000048459,"CHON BURI, TH",8.320996441,30.1,9,19.47660691,19
3/27/2014,TH000048459,"CHON BURI, TH",8.320996441,30.3,29.97211155,19.47660691,8.663632423
3/28/2014,TH000048459,"CHON BURI, TH",8.320996441,30.2,8,26,12
3/29/2014,TH000048459,"CHON BURI, TH",8.320996441,30.2,11,28,7
3/30/2014,TH000048459,"CHON BURI, TH",8.320996441,30.5,29.97211155,17,1
3/31/2014,TH000048459,"CHON BURI, TH",8.320996441,30.8,29.97211155,16,8
4/1/2014,TH000048459,"CHON BURI, TH",8.320996441,30.2,29.97211155,17,9
4/2/2014,TH000048459,"CHON BURI, TH",8.320996441,30.7,6,17,13
4/3/2014,TH000048459,"CHON BURI, TH",8.320996441,30.8,7,17,13
